OBJECTID,COD_SIG,NOME,IDTIPO,PERIMETRO,AREA_M2,FREGUESIAS53,GlobalID,Shape__Area,Shape__Length
1,122,Santo António,4015,6313.94,1494348.58,Coração de Jesus + São José + São Mamede,9de1ceba-f851-4181-a39b-a4f8bc15f3c5,2458057.47753906,8097.07417216178
2,118,Parque das Nações,4015,12237.24,5435124.3,Santa Maria dos Olivais ,aee6efb3-c624-4d82-b5f8-a98c4444b8c6,8953806.93017578,15724.2847102511
3,115,Marvila,4015,12216.54,7122521.9,Marvila,d6c144c0-6ffc-46d7-b6bf-f10fa7977b89,11724764.0874023,15674.4002589038
4,101,Ajuda,4015,9153.1,2876647.11,Ajuda,cdcaeb5c-7228-4a89-9091-9fb9be097e6e,4730508.34619141,11740.5881599167
5,104,Areeiro,4015,6358.83,1719002.47,Alto do Pina + São João de Deus,d1e276ef-009e-4290-a8b8-73643141a71e,2829202.73535156,8153.22532714171
6,121,Santa Maria Maior,4015,9306.07,3011591.52,Castelo + Madalena + Mártires + Sacramento +Santa Justa + Santiago + Santo Estêvão + São Cristóvão e São Lourenço + São Miguel + São Nicolau + Sé + Socorro,60af311b-84fb-4a39-856a-291d65993f97,4952034.12011719,11936.0707123726
7,103,Alvalade,4015,10751.3,5341751.02,Alvalade + Campo Grande + São João de Brito,e9ec7868-7b40-478a-87b3-c6ad6e373e5a,8794657.43115234,13786.9680333988
8,108,Belém,4015,16050.78,10426948.88,Santa Maria de Belém + São Francisco Xavier,3a6d0af1-130a-4c90-80f6-b6017dac1ca1,17138954.7587891,20577.2317950048
9,113,Estrela,4015,9927.92,4604095.97,Lapa + Prazeres + Santos-o-Velho,ba35868d-aa59-40db-8737-469f48274ce9,7569527.76611328,12734.3867705081
10,105,Arroios,4015,8240.38,2127871.88,Anjos + Pena + São Jorge de Arroios,ec8fa8b1-49e5-49bb-a311-1f51aafa5e77,3500783.4296875,10572.55294941
11,120,Santa Clara,4015,9431.48,3355562.58,Ameixoeira + Charneca,7c409727-e07d-41bf-bc65-18b3c4c619a2,5529409.33300781,12107.7477753023
12,106,Avenidas Novas,4015,8789.86,2994523.99,Nossa Senhora de Fátima + São Sebastião da Pedreira,4dba39f3-c22c-4e53-83b3-a884e5c8f731,4927916.28222656,11274.8640287786
13,112,Carnide,4015,10445.19,3688827.32,Carnide,355aaafc-030e-46a2-95ca-0fe725545b8b,6075093.00292969,13404.4260499424
14,123,São Domingos de Benfica,4015,10009.46,4294403.21,São Domingos de Benfica,c2c273ab-e383-4cc7-a0d9-3fd280e0b8e9,7068743.01025391,12839.9979365406
15,107,Beato,4015,8329.64,2483775.04,Beato,1f3c537a-f720-4187-bff9-19f9389a419e,4086758.99707031,10685.118419621
16,111,Campolide,4015,8506.73,2774372.95,Campolide,bfe7ec0e-76af-4a58-ad15-8de847b2faf7,4564789.18066406,10906.6713174125
17,102,Alcântara,4015,11258.45,5074843.76,Alcântara,921cf6af-b88c-47ea-8eda-ea6ca6680e89,8344776.64697266,14443.9310537656
18,110,Campo de Ourique,4015,6605.93,1651405.17,Santa Isabel + Santo Condestável,16b4ad84-3f12-4655-8a82-a7dfed75ec8d,2716166.58886719,8472.13246986213
19,124,São Vicente,4015,6997.46,1985855.99,Graça + Santa Engrácia + São Vicente de Fora,b122835b-4614-4f7b-87c4-fd3153d9b27b,3266134.78808594,8974.77036124532
20,117,Olivais,4015,12584,8088293.95,Santa Maria dos Olivais,775c657a-8172-462d-af7c-394587eb8a86,13323052.4501953,16147.9380311632
21,116,Misericórdia,4015,7419.73,2192198.78,Encarnação + Mercês + Santa Catarina + São Paulo,8acb7c93-d797-4d05-9834-41040d1069a8,3604355.8203125,9520.3551072085
22,114,Lumiar,4015,13240.99,6574930.77,Lumiar,ecbea9b5-94b6-4b68-b226-90bd24632262,10829688.1635742,16994.2644691607
23,119,Penha de França,4015,8556.55,2710760.87,Penha de França + São João,2fdc1bf5-b510-438a-8358-3269d272fed4,4459645.48681641,10976.9472759543
24,109,Benfica,4015,16611.57,8024544.82,Benfica,e702a647-8922-49ab-b013-83746c7fdcdd,13205379.0039063,21304.025257538
